hospital_id,ward,date,actual_occupied_beds,predicted_occupied_beds
HHN-BIR-01,Cardiology Ward,2025-12-02,18,20.81
HHN-BIR-01,Cardiology Ward,2025-12-03,20,21.17
HHN-BIR-01,Cardiology Ward,2025-12-04,21,21.08
HHN-BIR-01,Cardiology Ward,2025-12-05,20,21.8
HHN-BIR-01,Cardiology Ward,2025-12-06,21,19.88
HHN-BIR-01,Cardiology Ward,2025-12-07,17,17.45
HHN-BIR-01,Cardiology Ward,2025-12-08,19,17.84
HHN-BIR-01,Cardiology Ward,2025-12-09,19,18.68
HHN-BIR-01,Cardiology Ward,2025-12-10,17,20.5
HHN-BIR-01,Cardiology Ward,2025-12-11,16,21.32
HHN-BIR-01,Cardiology Ward,2025-12-12,16,21.34
HHN-BIR-01,Cardiology Ward,2025-12-13,21,18.31
HHN-BIR-01,Cardiology Ward,2025-12-14,20,17.8
HHN-BIR-01,Cardiology Ward,2025-12-15,17,16.24
HHN-BIR-01,Cardiology Ward,2025-12-16,21,19.32
HHN-BIR-01,Cardiology Ward,2025-12-17,29,21.09
HHN-BIR-01,Cardiology Ward,2025-12-18,37,21.56
HHN-BIR-01,Cardiology Ward,2025-12-19,34,21.82
HHN-BIR-01,Cardiology Ward,2025-12-20,24,19.83
HHN-BIR-01,Cardiology Ward,2025-12-21,20,16.06
HHN-BIR-01,Cardiology Ward,2025-12-22,19,17.53
HHN-BIR-01,Cardiology Ward,2025-12-23,20,18.09
HHN-BIR-01,Cardiology Ward,2025-12-24,22,19.99
HHN-BIR-01,Cardiology Ward,2025-12-25,21,20.88
HHN-BIR-01,Cardiology Ward,2025-12-26,23,21.0
HHN-BIR-01,Cardiology Ward,2025-12-27,19,18.95
HHN-BIR-01,Cardiology Ward,2025-12-28,19,16.97
HHN-BIR-01,Cardiology Ward,2025-12-29,17,17.89
HHN-BIR-01,Cardiology Ward,2025-12-30,15,18.55
HHN-BIR-01,Cardiology Ward,2025-12-31,14,19.7
HHN-BIR-01,Day Case Unit,2025-12-02,1,0.46
HHN-BIR-01,Day Case Unit,2025-12-03,0,0.26
HHN-BIR-01,Day Case Unit,2025-12-04,0,0.05
HHN-BIR-01,Day Case Unit,2025-12-05,0,0.25
HHN-BIR-01,Day Case Unit,2025-12-06,0,0.04
HHN-BIR-01,Day Case Unit,2025-12-07,0,0.03
HHN-BIR-01,Day Case Unit,2025-12-08,0,0.47
HHN-BIR-01,Day Case Unit,2025-12-09,1,0.22
HHN-BIR-01,Day Case Unit,2025-12-10,1,1.13
HHN-BIR-01,Day Case Unit,2025-12-11,0,0.31
HHN-BIR-01,Day Case Unit,2025-12-12,0,-0.03
HHN-BIR-01,Day Case Unit,2025-12-13,0,0.11
HHN-BIR-01,Day Case Unit,2025-12-14,0,-0.01
HHN-BIR-01,Day Case Unit,2025-12-15,0,0.2
HHN-BIR-01,Day Case Unit,2025-12-16,0,0.04
HHN-BIR-01,Day Case Unit,2025-12-17,1,1.04
HHN-BIR-01,Day Case Unit,2025-12-18,1,0.71
HHN-BIR-01,Day Case Unit,2025-12-19,1,0.28
HHN-BIR-01,Day Case Unit,2025-12-20,0,0.39
HHN-BIR-01,Day Case Unit,2025-12-21,1,0.77
HHN-BIR-01,Day Case Unit,2025-12-22,0,-0.07
HHN-BIR-01,Day Case Unit,2025-12-23,0,-0.11
HHN-BIR-01,Day Case Unit,2025-12-24,0,0.04
HHN-BIR-01,Day Case Unit,2025-12-25,0,-0.14
HHN-BIR-01,Day Case Unit,2025-12-26,0,-0.17
HHN-BIR-01,Day Case Unit,2025-12-27,0,0.03
HHN-BIR-01,Day Case Unit,2025-12-28,1,0.39
HHN-BIR-01,Day Case Unit,2025-12-29,0,0.57
HHN-BIR-01,Day Case Unit,2025-12-30,0,0.63
HHN-BIR-01,Day Case Unit,2025-12-31,0,0.63
HHN-BIR-01,General Medicine Ward A,2025-12-02,16,15.02
HHN-BIR-01,General Medicine Ward A,2025-12-03,16,14.22
HHN-BIR-01,General Medicine Ward A,2025-12-04,16,13.97
HHN-BIR-01,General Medicine Ward A,2025-12-05,16,13.8
HHN-BIR-01,General Medicine Ward A,2025-12-06,16,14.02
HHN-BIR-01,General Medicine Ward A,2025-12-07,16,14.07
HHN-BIR-01,General Medicine Ward A,2025-12-08,14,13.56
HHN-BIR-01,General Medicine Ward A,2025-12-09,16,13.64
HHN-BIR-01,General Medicine Ward A,2025-12-10,16,13.18
HHN-BIR-01,General Medicine Ward A,2025-12-11,16,13.1
HHN-BIR-01,General Medicine Ward A,2025-12-12,16,13.51
HHN-BIR-01,General Medicine Ward A,2025-12-13,16,12.87
HHN-BIR-01,General Medicine Ward A,2025-12-14,16,13.32
HHN-BIR-01,General Medicine Ward A,2025-12-15,16,13.59
HHN-BIR-01,General Medicine Ward A,2025-12-16,16,13.64
HHN-BIR-01,General Medicine Ward A,2025-12-17,16,13.19
HHN-BIR-01,General Medicine Ward A,2025-12-18,16,13.6
HHN-BIR-01,General Medicine Ward A,2025-12-19,16,13.24
HHN-BIR-01,General Medicine Ward A,2025-12-20,16,13.54
HHN-BIR-01,General Medicine Ward A,2025-12-21,16,13.62
HHN-BIR-01,General Medicine Ward A,2025-12-22,15,13.31
HHN-BIR-01,General Medicine Ward A,2025-12-23,15,12.81
HHN-BIR-01,General Medicine Ward A,2025-12-24,16,12.77
HHN-BIR-01,General Medicine Ward A,2025-12-25,16,13.42
HHN-BIR-01,General Medicine Ward A,2025-12-26,16,13.52
HHN-BIR-01,General Medicine Ward A,2025-12-27,16,13.08
HHN-BIR-01,General Medicine Ward A,2025-12-28,16,12.89
HHN-BIR-01,General Medicine Ward A,2025-12-29,16,13.63
HHN-BIR-01,General Medicine Ward A,2025-12-30,16,12.91
HHN-BIR-01,General Medicine Ward A,2025-12-31,16,13.71
HHN-BIR-01,General Medicine Ward B,2025-12-02,16,15.53
HHN-BIR-01,General Medicine Ward B,2025-12-03,15,14.73
HHN-BIR-01,General Medicine Ward B,2025-12-04,14,14.52
HHN-BIR-01,General Medicine Ward B,2025-12-05,12,14.22
HHN-BIR-01,General Medicine Ward B,2025-12-06,12,14.1
HHN-BIR-01,General Medicine Ward B,2025-12-07,14,14.16
HHN-BIR-01,General Medicine Ward B,2025-12-08,13,14.0
HHN-BIR-01,General Medicine Ward B,2025-12-09,12,13.99
HHN-BIR-01,General Medicine Ward B,2025-12-10,12,13.75
HHN-BIR-01,General Medicine Ward B,2025-12-11,13,14.01
HHN-BIR-01,General Medicine Ward B,2025-12-12,16,13.37
HHN-BIR-01,General Medicine Ward B,2025-12-13,15,13.69
HHN-BIR-01,General Medicine Ward B,2025-12-14,13,13.5
