hospital_id,ward,date,predicted_occupied_beds
HHN-BIR-01,Cardiology Ward,2026-01-01,14.98
HHN-BIR-01,Cardiology Ward,2026-01-02,14.38
HHN-BIR-01,Cardiology Ward,2026-01-03,14.53
HHN-BIR-01,Cardiology Ward,2026-01-04,13.69
HHN-BIR-01,Cardiology Ward,2026-01-05,12.76
HHN-BIR-01,Cardiology Ward,2026-01-06,12.95
HHN-BIR-01,Cardiology Ward,2026-01-07,12.63
HHN-BIR-01,Cardiology Ward,2026-01-08,12.41
HHN-BIR-01,Cardiology Ward,2026-01-09,12.29
HHN-BIR-01,Cardiology Ward,2026-01-10,12.3
HHN-BIR-01,Cardiology Ward,2026-01-11,12.29
HHN-BIR-01,Cardiology Ward,2026-01-12,12.31
HHN-BIR-01,Cardiology Ward,2026-01-13,12.76
HHN-BIR-01,Cardiology Ward,2026-01-14,12.76
HHN-BIR-01,Cardiology Ward,2026-01-15,12.61
HHN-BIR-01,Cardiology Ward,2026-01-16,12.47
HHN-BIR-01,Cardiology Ward,2026-01-17,12.47
HHN-BIR-01,Cardiology Ward,2026-01-18,12.39
HHN-BIR-01,Cardiology Ward,2026-01-19,12.31
HHN-BIR-01,Cardiology Ward,2026-01-20,12.76
HHN-BIR-01,Cardiology Ward,2026-01-21,12.76
HHN-BIR-01,Cardiology Ward,2026-01-22,12.61
HHN-BIR-01,Cardiology Ward,2026-01-23,12.47
HHN-BIR-01,Cardiology Ward,2026-01-24,12.47
HHN-BIR-01,Cardiology Ward,2026-01-25,12.39
HHN-BIR-01,Cardiology Ward,2026-01-26,12.31
HHN-BIR-01,Cardiology Ward,2026-01-27,12.76
HHN-BIR-01,Cardiology Ward,2026-01-28,12.76
HHN-BIR-01,Cardiology Ward,2026-01-29,12.61
HHN-BIR-01,Cardiology Ward,2026-01-30,12.47
HHN-BIR-01,Day Case Unit,2026-01-01,-0.0
HHN-BIR-01,Day Case Unit,2026-01-02,0.21
HHN-BIR-01,Day Case Unit,2026-01-03,-0.02
HHN-BIR-01,Day Case Unit,2026-01-04,-0.02
HHN-BIR-01,Day Case Unit,2026-01-05,0.22
HHN-BIR-01,Day Case Unit,2026-01-06,0.27
HHN-BIR-01,Day Case Unit,2026-01-07,0.3
HHN-BIR-01,Day Case Unit,2026-01-08,0.26
HHN-BIR-01,Day Case Unit,2026-01-09,0.03
HHN-BIR-01,Day Case Unit,2026-01-10,0.04
HHN-BIR-01,Day Case Unit,2026-01-11,0.02
HHN-BIR-01,Day Case Unit,2026-01-12,0.02
HHN-BIR-01,Day Case Unit,2026-01-13,0.27
HHN-BIR-01,Day Case Unit,2026-01-14,0.3
HHN-BIR-01,Day Case Unit,2026-01-15,0.26
HHN-BIR-01,Day Case Unit,2026-01-16,0.25
HHN-BIR-01,Day Case Unit,2026-01-17,0.04
HHN-BIR-01,Day Case Unit,2026-01-18,0.02
HHN-BIR-01,Day Case Unit,2026-01-19,0.02
HHN-BIR-01,Day Case Unit,2026-01-20,0.02
HHN-BIR-01,Day Case Unit,2026-01-21,0.3
HHN-BIR-01,Day Case Unit,2026-01-22,0.26
HHN-BIR-01,Day Case Unit,2026-01-23,0.25
HHN-BIR-01,Day Case Unit,2026-01-24,0.26
HHN-BIR-01,Day Case Unit,2026-01-25,0.02
HHN-BIR-01,Day Case Unit,2026-01-26,0.02
HHN-BIR-01,Day Case Unit,2026-01-27,0.02
HHN-BIR-01,Day Case Unit,2026-01-28,0.05
HHN-BIR-01,Day Case Unit,2026-01-29,0.26
HHN-BIR-01,Day Case Unit,2026-01-30,0.25
HHN-BIR-01,General Medicine Ward A,2026-01-01,15.94
HHN-BIR-01,General Medicine Ward A,2026-01-02,15.31
HHN-BIR-01,General Medicine Ward A,2026-01-03,15.28
HHN-BIR-01,General Medicine Ward A,2026-01-04,15.21
HHN-BIR-01,General Medicine Ward A,2026-01-05,14.97
HHN-BIR-01,General Medicine Ward A,2026-01-06,14.29
HHN-BIR-01,General Medicine Ward A,2026-01-07,14.59
HHN-BIR-01,General Medicine Ward A,2026-01-08,14.62
HHN-BIR-01,General Medicine Ward A,2026-01-09,14.62
HHN-BIR-01,General Medicine Ward A,2026-01-10,14.86
HHN-BIR-01,General Medicine Ward A,2026-01-11,14.86
HHN-BIR-01,General Medicine Ward A,2026-01-12,15.23
HHN-BIR-01,General Medicine Ward A,2026-01-13,15.67
HHN-BIR-01,General Medicine Ward A,2026-01-14,15.67
HHN-BIR-01,General Medicine Ward A,2026-01-15,15.68
HHN-BIR-01,General Medicine Ward A,2026-01-16,15.66
HHN-BIR-01,General Medicine Ward A,2026-01-17,15.67
HHN-BIR-01,General Medicine Ward A,2026-01-18,15.5
HHN-BIR-01,General Medicine Ward A,2026-01-19,15.45
HHN-BIR-01,General Medicine Ward A,2026-01-20,15.74
HHN-BIR-01,General Medicine Ward A,2026-01-21,15.75
HHN-BIR-01,General Medicine Ward A,2026-01-22,15.77
HHN-BIR-01,General Medicine Ward A,2026-01-23,15.75
HHN-BIR-01,General Medicine Ward A,2026-01-24,15.79
HHN-BIR-01,General Medicine Ward A,2026-01-25,15.78
HHN-BIR-01,General Medicine Ward A,2026-01-26,15.45
HHN-BIR-01,General Medicine Ward A,2026-01-27,15.74
HHN-BIR-01,General Medicine Ward A,2026-01-28,15.75
HHN-BIR-01,General Medicine Ward A,2026-01-29,15.77
HHN-BIR-01,General Medicine Ward A,2026-01-30,15.75
HHN-BIR-01,General Medicine Ward B,2026-01-01,16.2
HHN-BIR-01,General Medicine Ward B,2026-01-02,16.21
HHN-BIR-01,General Medicine Ward B,2026-01-03,16.06
HHN-BIR-01,General Medicine Ward B,2026-01-04,15.87
